Mes,Saldo (R$)
1,1205.83
2,1412.87
3,1621.11
4,1830.57
5,2041.24
6,2253.15
7,2466.29
8,2680.68
9,2896.32
10,3113.21
11,3331.37
12,3550.81
13,3771.52
14,3993.52
15,4216.82
16,4441.41
17,4667.32
18,4894.55
19,5123.10
20,5352.98
21,5584.21
22,5816.79
23,6050.72
24,6286.01
25,6522.68
26,6760.73
27,7000.17
28,7241.00
29,7483.24
30,7726.89
31,7971.97
32,8218.47
33,8466.41
34,8715.80
35,8966.64
36,9218.95
37,9472.72
38,9727.98
39,9984.73
40,10242.97
41,10502.72
42,10763.99
43,11026.78
44,11291.10
45,11556.97
46,11824.38
47,12093.36
48,12363.90
49,12636.02
50,12909.73
51,13185.04
52,13461.95
53,13740.48
54,14020.63
55,14302.42
56,14585.85
57,14870.94
58,15157.68
59,15446.10
60,15736.21
61,16028.00
62,16321.50
63,16616.71
64,16913.64
65,17212.30
66,17512.70
67,17814.86
68,18118.78
69,18424.47
70,18731.95
71,19041.22
72,19352.29
73,19665.18
74,19979.90
75,20296.45
76,20614.84
77,20935.09
78,21257.22
79,21581.22
80,21907.11
81,22234.90
82,22564.60
83,22896.23
84,23229.79
85,23565.30
86,23902.76
87,24242.19
88,24583.61
89,24927.01
90,25272.42
91,25619.84
92,25969.29
93,26320.78
94,26674.32
95,27029.92
96,27387.59
97,27747.35
98,28109.21
99,28473.18
100,28839.28
101,29207.50
102,29577.88
103,29950.42
104,30325.13
105,30702.03
106,31081.12
107,31462.43
108,31845.96
109,32231.73
110,32619.75
111,33010.03
112,33402.59
113,33797.43
114,34194.59
115,34594.05
116,34995.85
117,35400.00
118,35806.50
119,36215.37
120,36626.62
121,37040.28
122,37456.35
123,37874.84
124,38295.78
125,38719.17
126,39145.03
127,39573.38
128,40004.22
129,40437.58
130,40873.47
131,41311.90
132,41752.88
133,42196.44
134,42642.59
135,43091.33
136,43542.70
137,43996.70
138,44453.35
139,44912.66
140,45374.65
141,45839.33
142,46306.73
143,46776.85
144,47249.72
145,47725.34
146,48203.74
147,48684.93
148,49168.92
149,49655.74
150,50145.40
151,50637.91
152,51133.30
153,51631.58
154,52132.76
155,52636.87
156,53143.92
157,53653.93
158,54166.91
159,54682.88
160,55201.87
161,55723.88
162,56248.93
163,56777.05
164,57308.25
165,57842.55
166,58379.96
167,58920.51
168,59464.22
169,60011.09
170,60561.16
171,61114.43
172,61670.93
173,62230.68
174,62793.69
175,63359.99
176,63929.59
177,64502.51
178,65078.77
179,65658.40
180,66241.41
181,66827.81
182,67417.64
183,68010.91
184,68607.64
185,69207.85
186,69811.57
187,70418.80
188,71029.58
189,71643.92
190,72261.84
191,72883.37
192,73508.52
193,74137.32
194,74769.79
195,75405.94
196,76045.81
197,76689.41
198,77336.77
199,77987.90
200,78642.83
201,79301.58
202,79964.17
203,80630.63
204,81300.97
205,81975.23
206,82653.42
207,83335.56
208,84021.69
209,84711.81
210,85405.97
211,86104.17
212,86806.44
213,87512.81
214,88223.30
215,88937.94
216,89656.74
217,90379.74
218,91106.96
219,91838.41
220,92574.14
221,93314.15
222,94058.49
223,94807.16
224,95560.20
225,96317.64
226,97079.49
227,97845.79
228,98616.56
229,99391.82
230,100171.60
231,100955.94
232,101744.85
233,102538.36
234,103336.50
235,104139.30
236,104946.78
237,105758.96
238,106575.89
239,107397.58
240,108224.07
