Mes,Saldo (R$)
1,1004.17
2,1008.35
3,1012.55
4,1016.77
5,1021.01
6,1025.26
7,1029.53
8,1033.82
9,1038.13
10,1042.46
11,1046.80
12,1051.16
13,1055.54
14,1059.94
15,1064.36
16,1068.79
17,1073.24
18,1077.72
19,1082.21
20,1086.72
21,1091.24
22,1095.79
23,1100.36
24,1104.94
25,1109.55
26,1114.17
27,1118.81
28,1123.47
29,1128.15
30,1132.85
31,1137.57
32,1142.31
33,1147.07
34,1151.85
35,1156.65
36,1161.47
37,1166.31
38,1171.17
39,1176.05
40,1180.95
41,1185.87
42,1190.81
43,1195.77
44,1200.76
45,1205.76
46,1210.78
47,1215.83
48,1220.90
49,1225.98
50,1231.09
51,1236.22
52,1241.37
53,1246.54
54,1251.74
55,1256.95
56,1262.19
57,1267.45
58,1272.73
59,1278.03
60,1283.36
61,1288.71
62,1294.08
63,1299.47
64,1304.88
65,1310.32
66,1315.78
67,1321.26
68,1326.77
69,1332.29
70,1337.85
71,1343.42
72,1349.02
73,1354.64
74,1360.28
75,1365.95
76,1371.64
77,1377.36
78,1383.10
79,1388.86
80,1394.65
81,1400.46
82,1406.29
83,1412.15
84,1418.04
85,1423.94
86,1429.88
87,1435.84
88,1441.82
89,1447.83
90,1453.86
91,1459.92
92,1466.00
93,1472.11
94,1478.24
95,1484.40
96,1490.59
97,1496.80
98,1503.03
99,1509.30
100,1515.58
101,1521.90
102,1528.24
103,1534.61
104,1541.00
105,1547.42
106,1553.87
107,1560.35
108,1566.85
109,1573.38
110,1579.93
111,1586.51
112,1593.12
113,1599.76
114,1606.43
115,1613.12
116,1619.84
117,1626.59
118,1633.37
119,1640.18
120,1647.01
